name,date_utc,success,rocket,launchpad,flight_number
ZUMA,2018-01-08T01:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,53
SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,54
Falcon Heavy Test Flight,2018-02-06T20:45:00.000Z,1,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,55
Paz / Starlink Demo,2018-02-22T14:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,56
Hispasat 30W-6,2018-03-06T05:33:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,57
Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,58
CRS-14,2018-04-02T20:30:41.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,59
TESS,2018-04-18T22:51:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,60
Bangabandhu-1,2018-05-11T20:14:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,61
Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,62
SES-12,2018-06-04T04:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,63
CRS-15,2018-06-29T09:42:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,64
Telstar 19V,2018-07-22T05:50:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,65
Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,66
Merah Putih,2018-08-07T05:18:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,67
Telstar 18V,2018-09-10T04:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,68
SAOCOM 1A,2018-10-08T02:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,69
Es’hail 2,2018-11-15T20:46:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,70
SSO-A,2018-12-03T18:34:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,71
CRS-16,2018-12-05T18:16:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,72
GPS III SV01,2018-12-23T13:51:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,73
Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,74
